shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
800_to_658,9.12277,37.29567,368,38324.11
800_to_658,9.12265,37.29575,369,38340.08
800_to_658,9.12257,37.29585,370,38354.21
800_to_658,9.1224,37.29634,371,38411.23
800_to_658,9.12234,37.29647,372,38426.99
800_to_658,9.12222,37.29659,373,38445.74
800_to_658,9.12114,37.29751,374,38602.66
800_to_658,9.12074,37.29772,375,38652.76
800_to_658,9.11845,37.29869,376,38928.77
800_to_658,9.11813,37.29892,377,38972.40
800_to_658,9.11795,37.29913,378,39002.93
800_to_658,9.11786,37.29947,379,39041.58
800_to_658,9.11807,37.30197,380,39317.04
800_to_658,9.11805,37.3024,381,39364.31
800_to_658,9.11793,37.30277,382,39407.06
800_to_658,9.11764,37.30301,383,39448.71
800_to_658,9.11737,37.30306,384,39479.23
800_to_658,9.11647,37.30277,385,39584.24
800_to_658,9.11622,37.30276,386,39612.07
800_to_658,9.11591,37.30283,387,39647.38
800_to_658,9.11563,37.303,388,39683.68
800_to_658,9.11096,37.30856,389,40485.11
800_to_658,9.10915,37.31067,390,40791.99
800_to_658,9.10897,37.31102,391,40835.32
800_to_658,9.10888,37.31133,392,40870.79
800_to_658,9.10885,37.3116,393,40900.62
800_to_658,9.10918,37.31476,394,41249.50
800_to_658,9.10916,37.31503,395,41279.23
800_to_658,9.10908,37.31526,396,41306.00
800_to_658,9.10894,37.31549,397,41335.67
800_to_658,9.10821,37.31597,398,41432.45
800_to_658,9.1077,37.31639,399,41505.54
800_to_658,9.10758,37.31661,400,41533.14
800_to_658,9.10756,37.31686,401,41560.67
800_to_658,9.10766,37.31712,402,41591.31
800_to_658,9.10866,37.31805,403,41742.27
800_to_658,9.10884,37.31844,404,41789.54
800_to_658,9.10887,37.31872,405,41820.46
800_to_658,9.10881,37.31907,406,41859.46
800_to_658,9.10873,37.31934,407,41890.41
800_to_658,9.10843,37.31964,408,41937.29
800_to_658,9.10808,37.31985,409,41982.53
800_to_658,9.10773,37.32004,410,42026.69
800_to_658,9.10661,37.32051,411,42161.49
800_to_658,9.10601,37.32076,412,42233.63
800_to_658,9.10587,37.32088,413,42254.03
800_to_658,9.10545,37.32134,414,42322.82
800_to_658,9.10521,37.32165,415,42366.07
800_to_658,9.10504,37.32183,416,42393.42
800_to_658,9.10484,37.322,417,42422.45
800_to_658,9.10456,37.32214,418,42457.17
800_to_658,9.10361,37.32244,419,42567.82
800_to_658,9.10311,37.32259,420,42625.81
800_to_658,9.1012,37.32309,421,42845.17
800_to_658,9.10006,37.32346,422,42978.28
800_to_658,9.09909,37.32383,423,43093.54
800_to_658,9.09737,37.32459,424,43302.21
800_to_658,9.09713,37.32472,425,43332.47
800_to_658,9.09693,37.32489,426,43361.50
800_to_658,9.09677,37.32514,427,43394.21
800_to_658,9.09603,37.32651,428,43565.67
800_to_658,9.09556,37.3274,429,43676.49
800_to_658,9.09478,37.3288,430,43852.98
800_to_658,9.09459,37.32909,431,43891.20
800_to_658,9.0941,37.32967,432,43975.01
800_to_658,9.09291,37.33085,433,44160.20
800_to_658,9.0925,37.33121,434,44220.54
800_to_658,9.0922,37.33138,435,44258.76
800_to_658,9.09179,37.33152,436,44306.87
800_to_658,9.09088,37.33192,437,44417.18
800_to_658,9.0907,37.33209,438,44444.55
800_to_658,9.09057,37.33225,439,44467.30
800_to_658,9.09034,37.33263,440,44516.24
800_to_658,9.09021,37.33294,441,44553.22
800_to_658,9.0902,37.33323,442,44585.08
800_to_658,9.09023,37.33345,443,44609.46
800_to_658,9.09031,37.33367,444,44635.20
800_to_658,9.09138,37.33484,445,44810.30
800_to_658,9.09246,37.33606,446,44990.20
800_to_658,9.09254,37.33627,447,45014.92
800_to_658,9.09259,37.33649,448,45039.70
800_to_658,9.09269,37.33834,449,45243.13
800_to_658,9.09267,37.3385,450,45260.84
800_to_658,9.09263,37.33863,451,45275.79
800_to_658,9.09168,37.34014,452,45472.38
800_to_658,9.09162,37.34045,453,45507.07
800_to_658,9.0917,37.34068,454,45533.84
800_to_658,9.0918,37.34081,455,45551.93
800_to_658,9.09227,37.3412,456,45619.50
800_to_658,9.0934,37.342,457,45772.81
800_to_658,9.09358,37.34224,458,45805.90
800_to_658,9.09361,37.34247,459,45831.37
800_to_658,9.09363,37.34275,460,45862.19
800_to_658,9.09352,37.34326,461,45919.51
800_to_658,9.09333,37.34419,462,46023.79
800_to_658,9.09335,37.34451,463,46058.99
800_to_658,9.0934,37.34476,464,46087.00
800_to_658,9.0935,37.34508,465,46123.85
800_to_658,9.09392,37.34632,466,46267.79
800_to_658,9.09545,37.35037,467,46743.90
800_to_658,9.0961,37.35209,468,46946.11
800_to_658,9.09716,37.35488,469,47274.33
800_to_658,9.09812,37.35744,470,47575.00
800_to_658,9.09856,37.35877,471,47729.00
800_to_658,9.09868,37.35987,472,47850.51
800_to_658,9.0987,37.36181,473,48063.53
800_to_658,9.09868,37.36224,474,48110.79
800_to_658,9.09867,37.3623,475,48117.48
800_to_658,9.09856,37.36274,476,48167.31
800_to_658,9.09844,37.36313,477,48212.16
800_to_658,9.09805,37.3639,478,48307.18
800_to_658,9.09778,37.36442,479,48371.68
800_to_658,9.09766,37.36466,480,48401.22
800_to_658,9.09698,37.36603,481,48569.58
800_to_658,9.09689,37.36635,482,48606.11
800_to_658,9.09685,37.36688,483,48664.47
800_to_658,9.09696,37.36768,484,48753.15
800_to_658,9.09734,37.36973,485,48982.17
800_to_658,9.09732,37.37016,486,49029.43
800_to_658,9.09725,37.3704,487,49056.91
800_to_658,9.09715,37.37067,488,49088.57
800_to_658,9.09696,37.37094,489,49124.98
800_to_658,9.09671,37.37116,490,49161.80
800_to_658,9.09619,37.37143,491,49226.78
800_to_658,9.09553,37.37178,492,49309.62
800_to_658,9.09523,37.37189,493,49345.10
800_to_658,9.09497,37.37189,494,49374.01
800_to_658,9.0947,37.37181,495,49405.29
800_to_658,9.09416,37.37147,496,49476.00
800_to_658,9.0935,37.37099,497,49566.35
800_to_658,9.09303,37.37069,498,49628.12
800_to_658,9.0927,37.37057,499,49667.11
800_to_658,9.09237,37.37055,500,49703.87
800_to_658,9.09191,37.37067,501,49756.69
800_to_658,9.09174,37.37073,502,49776.71
800_to_658,9.09123,37.3709,503,49836.41
800_to_658,9.09075,37.37113,504,49895.46
800_to_658,9.09057,37.37129,505,49922.09
800_to_658,9.08914,37.37331,506,50194.99
800_to_658,9.08648,37.377,507,50696.63
800_to_658,9.08524,37.37918,508,50972.86
800_to_658,9.08492,37.37958,509,51029.39
800_to_658,9.08474,37.38003,510,51082.70
800_to_658,9.08467,37.38053,511,51138.15
800_to_658,9.08471,37.38093,512,51182.29
800_to_658,9.08486,37.38146,513,51242.83
800_to_658,9.08519,37.38226,514,51338.03
800_to_658,9.08534,37.38269,515,51388.10
800_to_658,9.08538,37.383,516,51422.43
800_to_658,9.08537,37.38331,517,51456.48
800_to_658,9.08532,37.38363,518,51492.06
800_to_658,9.08463,37.38542,519,51703.04
800_to_658,9.08406,37.38681,520,51868.30
800_to_658,9.08398,37.38717,521,51908.82
