shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
328_to_837,8.81812,38.92349,326,41012.15
328_to_837,8.81749,38.92132,327,41260.67
328_to_837,8.817,38.91956,328,41461.59
328_to_837,8.81687,38.91902,329,41522.66
328_to_837,8.81678,38.91863,330,41566.66
328_to_837,8.81661,38.91773,331,41667.35
328_to_837,8.81652,38.91705,332,41742.73
328_to_837,8.81642,38.91607,333,41850.99
328_to_837,8.8164,38.91557,334,41905.98
328_to_837,8.81639,38.91525,335,41941.16
328_to_837,8.81641,38.91486,336,41984.07
328_to_837,8.81645,38.91447,337,42027.15
328_to_837,8.8165,38.91408,338,42070.36
328_to_837,8.8166,38.91358,339,42126.42
328_to_837,8.81668,38.91325,340,42163.75
328_to_837,8.81679,38.9129,341,42204.11
328_to_837,8.81694,38.9125,342,42251.12
328_to_837,8.8171,38.9121,343,42298.54
328_to_837,8.81723,38.91183,344,42331.54
328_to_837,8.81742,38.91145,345,42378.34
328_to_837,8.81761,38.91112,346,42420.30
328_to_837,8.81788,38.91072,347,42473.53
328_to_837,8.81805,38.91048,348,42505.98
328_to_837,8.8183,38.91018,349,42549.10
328_to_837,8.81882,38.90959,350,42635.97
328_to_837,8.81992,38.9085,351,42807.15
328_to_837,8.82123,38.90726,352,43006.61
328_to_837,8.82196,38.90656,353,43118.44
328_to_837,8.82318,38.90529,354,43313.05
328_to_837,8.82388,38.90464,355,43418.69
328_to_837,8.82499,38.9036,356,43586.90
328_to_837,8.82592,38.90271,357,43729.22
328_to_837,8.8269,38.90177,358,43879.37
328_to_837,8.82754,38.90109,359,43982.55
328_to_837,8.82816,38.90037,360,44087.49
328_to_837,8.82879,38.89947,361,44208.67
328_to_837,8.82929,38.8987,362,44309.91
328_to_837,8.82987,38.89761,363,44445.94
328_to_837,8.83024,38.89681,364,44542.99
328_to_837,8.83073,38.89569,365,44677.58
328_to_837,8.83216,38.8923,366,45082.58
328_to_837,8.83268,38.89097,367,45239.74
328_to_837,8.83302,38.89006,368,45346.63
328_to_837,8.83344,38.88883,369,45489.62
328_to_837,8.83375,38.88766,370,45622.72
328_to_837,8.83406,38.88626,371,45780.36
328_to_837,8.83432,38.88462,372,45962.86
328_to_837,8.83453,38.88287,373,46156.56
328_to_837,8.83471,38.88156,374,46301.88
328_to_837,8.83484,38.88075,375,46392.04
328_to_837,8.83508,38.87974,376,46506.18
328_to_837,8.83534,38.87889,377,46603.95
328_to_837,8.83575,38.87791,378,46720.88
328_to_837,8.83624,38.87698,379,46836.68
328_to_837,8.83694,38.87591,380,46977.68
328_to_837,8.83869,38.87357,381,47300.12
328_to_837,8.83999,38.87193,382,47531.13
328_to_837,8.84074,38.87081,383,47679.79
328_to_837,8.84128,38.86994,384,47792.67
328_to_837,8.84182,38.86881,385,47930.59
328_to_837,8.84218,38.86786,386,48042.38
328_to_837,8.84246,38.86694,387,48148.15
328_to_837,8.84262,38.86632,388,48218.56
328_to_837,8.84326,38.86252,389,48642.10
328_to_837,8.84349,38.86122,390,48787.20
328_to_837,8.84368,38.86049,391,48870.15
328_to_837,8.84388,38.85983,392,48946.00
328_to_837,8.84419,38.85913,393,49030.28
328_to_837,8.84456,38.85843,394,49117.50
328_to_837,8.84508,38.85766,395,49219.98
328_to_837,8.84555,38.85709,396,49301.54
328_to_837,8.84617,38.85651,397,49395.43
328_to_837,8.84696,38.8559,398,49505.92
328_to_837,8.84995,38.85389,399,49905.05
328_to_837,8.8508,38.85329,400,50020.29
328_to_837,8.85126,38.85297,401,50082.36
328_to_837,8.85184,38.85244,402,50169.25
328_to_837,8.85236,38.85192,403,50250.53
328_to_837,8.85277,38.85141,404,50322.77
328_to_837,8.85312,38.85094,405,50387.43
328_to_837,8.85346,38.85046,406,50452.32
328_to_837,8.85375,38.84997,407,50515.08
328_to_837,8.85404,38.84935,408,50590.44
328_to_837,8.85431,38.84871,409,50666.90
328_to_837,8.8547,38.84762,410,50794.27
328_to_837,8.85573,38.84443,411,51162.99
328_to_837,8.85621,38.84301,412,51327.88
328_to_837,8.85644,38.84238,413,51401.68
328_to_837,8.85681,38.84141,414,51515.91
328_to_837,8.85711,38.84069,415,51601.77
328_to_837,8.85738,38.84011,416,51672.21
328_to_837,8.85839,38.83809,417,51920.94
328_to_837,8.85948,38.83602,418,52178.65
328_to_837,8.8604,38.83413,419,52410.13
328_to_837,8.86082,38.83309,420,52533.57
328_to_837,8.86128,38.83202,421,52661.77
328_to_837,8.86175,38.83062,422,52824.22
328_to_837,8.86209,38.82933,423,52970.91
328_to_837,8.86248,38.8277,424,53155.17
328_to_837,8.86253,38.82755,425,53172.56
328_to_837,8.86263,38.82734,426,53198.17
328_to_837,8.86275,38.82712,427,53225.78
328_to_837,8.86284,38.82687,428,53255.02
328_to_837,8.8629,38.82659,429,53286.49
328_to_837,8.86293,38.8263,430,53318.53
328_to_837,8.86293,38.82623,431,53326.22
328_to_837,8.86292,38.82616,432,53333.99
328_to_837,8.86291,38.82599,433,53352.70
328_to_837,8.86286,38.82556,434,53400.27
328_to_837,8.86286,38.82527,435,53432.13
328_to_837,8.86293,38.82457,436,53509.43
328_to_837,8.86299,38.82394,437,53578.97
328_to_837,8.86317,38.82264,438,53723.19
328_to_837,8.86317,38.82251,439,53737.47
328_to_837,8.86318,38.82241,440,53748.52
328_to_837,8.86318,38.8221,441,53782.58
328_to_837,8.86314,38.82184,442,53811.49
328_to_837,8.8631,38.82167,443,53830.69
328_to_837,8.8631,38.82167,444,53830.69
328_to_837,8.86306,38.82151,445,53848.82
328_to_837,8.86299,38.82132,446,53871.10
328_to_837,8.86289,38.82108,447,53899.71
328_to_837,8.86284,38.82098,448,53912.03
328_to_837,8.86275,38.82084,449,53930.38
328_to_837,8.8626,38.82063,450,53958.85
328_to_837,8.86235,38.82035,451,54000.31
328_to_837,8.86204,38.82005,452,54048.00
328_to_837,8.86168,38.81971,453,54102.75
328_to_837,8.86142,38.81939,454,54148.27
328_to_837,8.86124,38.81912,455,54184.06
328_to_837,8.86108,38.81884,456,54219.59
328_to_837,8.8609,38.81849,457,54262.95
328_to_837,8.86071,38.81792,458,54329.04
328_to_837,8.8602,38.81657,459,54487.83
328_to_837,8.85972,38.81534,460,54633.13
328_to_837,8.85957,38.81485,461,54689.49
328_to_837,8.85949,38.81451,462,54727.89
328_to_837,8.85946,38.81424,463,54757.74
328_to_837,8.85945,38.81394,464,54790.72
328_to_837,8.85949,38.81353,465,54835.98
328_to_837,8.85953,38.81319,466,54873.60
328_to_837,8.85961,38.81275,467,54922.76
328_to_837,8.85967,38.81227,468,54975.91
328_to_837,8.85969,38.8119,469,55016.62
328_to_837,8.85965,38.81158,470,55052.06
328_to_837,8.85959,38.81124,471,55090.01
328_to_837,8.85948,38.8109,472,55129.32
328_to_837,8.85939,38.81069,473,55154.46
328_to_837,8.85923,38.81038,474,55192.89
328_to_837,8.85911,38.81017,475,55219.54
328_to_837,8.859,38.81003,476,55239.20
328_to_837,8.85872,38.80972,477,55285.34
328_to_837,8.85846,38.80949,478,55323.74
328_to_837,8.85795,38.80912,479,55393.51
328_to_837,8.85774,38.80895,480,55423.42
328_to_837,8.85747,38.80874,481,55461.28
328_to_837,8.85732,38.80856,482,55487.15
328_to_837,8.85705,38.80817,483,55539.47
328_to_837,8.85677,38.80752,484,55617.38
328_to_837,8.85645,38.80663,485,55721.43
328_to_837,8.8561,38.80566,486,55834.89
328_to_837,8.8553,38.80362,487,56076.03
328_to_837,8.85489,38.80267,488,56189.93
328_to_837,8.85391,38.8005,489,56452.07
328_to_837,8.85368,38.80004,490,56508.71
328_to_837,8.85345,38.7995,491,56573.32
328_to_837,8.85328,38.79893,492,56638.74
328_to_837,8.85314,38.79835,493,56704.34
328_to_837,8.85297,38.7976,494,56788.88
328_to_837,8.85275,38.79651,495,56911.11
328_to_837,8.85264,38.7958,496,56990.07
328_to_837,8.85249,38.79449,497,57134.96
328_to_837,8.85247,38.79378,498,57213.00
328_to_837,8.85248,38.7929,499,57309.70
328_to_837,8.85261,38.79153,500,57460.91
328_to_837,8.8527,38.79084,501,57537.38
328_to_837,8.85281,38.79023,502,57605.51
328_to_837,8.85292,38.78956,503,57680.13
328_to_837,8.85309,38.7889,504,57755.07
328_to_837,8.85324,38.78835,505,57817.76
328_to_837,8.85351,38.78754,506,57911.68
328_to_837,8.85387,38.78655,507,58027.58
328_to_837,8.85405,38.78612,508,58078.89
328_to_837,8.85429,38.78557,509,58144.95
328_to_837,8.85457,38.78499,510,58215.87
328_to_837,8.85484,38.78447,511,58280.41
328_to_837,8.8551,38.78399,512,58340.55
328_to_837,8.85522,38.78377,513,58368.16
328_to_837,8.85537,38.78351,514,58401.24
328_to_837,8.85563,38.78312,515,58452.93
328_to_837,8.85577,38.78289,516,58482.61
328_to_837,8.85612,38.78235,517,58553.57
328_to_837,8.85668,38.7816,518,58656.85
328_to_837,8.85711,38.78105,519,58733.91
328_to_837,8.85805,38.78004,520,58886.35
328_to_837,8.85854,38.77952,521,58965.30
328_to_837,8.85916,38.77885,522,59066.15
328_to_837,8.85964,38.77838,523,59140.42
328_to_837,8.85968,38.77835,524,59145.95
328_to_837,8.86005,38.77799,525,59203.02
328_to_837,8.86011,38.77793,526,59212.40
328_to_837,8.86052,38.77754,527,59274.97
328_to_837,8.86092,38.77714,528,59337.50
328_to_837,8.86294,38.77518,529,59648.66
328_to_837,8.86343,38.77471,530,59723.73
328_to_837,8.86396,38.77419,531,59805.81
328_to_837,8.86481,38.77337,532,59936.38
328_to_837,8.86567,38.77256,533,60067.01
328_to_837,8.86624,38.77203,534,60153.08
328_to_837,8.86707,38.77128,535,60276.80
328_to_837,8.86763,38.77079,536,60359.12
328_to_837,8.86854,38.77,537,60492.43
328_to_837,8.86966,38.76902,538,60657.06
328_to_837,8.86969,38.76899,539,60661.75
328_to_837,8.87084,38.76793,540,60834.70
328_to_837,8.8713,38.76752,541,60902.86
328_to_837,8.87174,38.76713,542,60967.89
328_to_837,8.87222,38.76671,543,61038.45
328_to_837,8.87302,38.76599,544,61157.49
328_to_837,8.87354,38.76555,545,61232.85
328_to_837,8.87357,38.76552,546,61237.54
328_to_837,8.87405,38.76507,547,61310.30
328_to_837,8.87497,38.76426,548,61445.89
328_to_837,8.875,38.76423,549,61450.57
328_to_837,8.87547,38.76382,550,61519.57
328_to_837,8.87621,38.76316,551,61629.24
328_to_837,8.87655,38.76285,552,61680.13
328_to_837,8.87681,38.76262,553,61718.52
328_to_837,8.87689,38.76255,554,61730.28
328_to_837,8.87727,38.76222,555,61785.96
328_to_837,8.87783,38.76173,556,61868.27
328_to_837,8.87827,38.76133,557,61934.04
328_to_837,8.87829,38.76131,558,61937.16
328_to_837,8.87986,38.75991,559,62169.83
328_to_837,8.88022,38.75959,560,62223.11
